Geneid	RpS3_Xrp1_C_RNA	RpS3_Xrp1_B_RNA	RpS3_Xrp1_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0038421	1798	2009	1400	1299	1493	1183
FBGN0039261	11257	10482	8604	12354	14381	13474
FBGN0051029	63	73	74	142	92	107
FBGN0039577	12	8	14	24	10	1
FBGN0038377	6	29	13	4	1	0
FBGN0261808	556	634	535	567	520	605
FBGN0039366	55	45	57	7	16	8
FBGN0037647	1157	1328	1040	1053	1078	954
FBGN0039210	3721	3571	2912	3667	4224	4026
FBGN0039213	11044	12320	9436	10258	12159	12220
FBGN0038002	50	60	38	30	34	7
FBGN0039832	17	24	20	22	15	4
FBGN0037433	986	1275	1045	1322	1517	1642
FBGN0266064	9475	9588	7069	8510	8643	9479
FBGN0038821	29	52	17	9	3	20
FBGN0261287	71	57	57	33	40	38
FBGN0010225	4293	4090	3413	2435	3221	2854
FBGN0039099	21	75	34	14	13	5
FBGN0037675	3	0	8	10	5	7
FBGN0038686	2243	3152	2308	2664	3146	2713
FBGN0039655	51	6	21	21	14	12
FBGN0027562	33	13	17	3	8	14
FBGN0038159	8	8	50	15	8	10
FBGN0037828	19	5	18	16	8	1
FBGN0037454	36	53	31	18	7	19
FBGN0260386	673	844	477	836	871	1013
FBGN0004172	14	30	9	15	0	13
FBGN0038510	31	25	34	12	8	7
FBGN0039704	11836	10859	8933	8091	10701	9935
FBGN0037949	3050	2733	2239	2821	3260	2983
FBGN0039594	2944	3154	2434	4186	3861	4705
FBGN0262005	29	25	2	0	19	0
FBGN0260935	2598	1722	1682	2195	2273	2458
FBGN0266454	18	0	9	7	0	5
FBGN0053783	53	23	17	25	7	7
FBGN0037920	1699	1475	1097	1153	1390	1521
FBGN0260940	1586	2153	1412	1472	1679	1411
FBGN0039269	1940	2196	1361	1392	1685	1865
FBGN0037746	7642	7640	5691	6977	7986	8294
FBGN0039712	3054	3114	2492	2325	2734	2689
FBGN0262362	23	43	47	6	7	12
FBGN0039337	1083	1119	837	946	1131	1071
FBGN0038486	70	23	43	41	20	4
FBGN0259215	115	112	95	75	23	50
FBGN0267408	1891	1683	1847	138	103	75
FBGN0000047	37	27	32	58	21	11
FBGN0039343	63	17	26	36	39	4
FBGN0038196	4494	4977	3909	2623	2908	2834
